;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
4141;6.8;0.28;0.29;11.9;0.052000000000000005;51.0;149.0;0.99544;3.02;0.58;10.4;good
251;8.5;0.26;0.21;16.2;0.07400000000000001;41.0;197.0;0.998;3.02;0.5;9.8;poor
2335;8.3;0.27;0.34;10.2;0.048;50.0;118.0;0.99716;3.18;0.51;10.3;good
4722;6.0;0.25;0.28;7.7;0.053;37.0;132.0;0.9948899999999999;3.06;0.5;9.4;good
2566;6.9;0.21;0.24;1.8;0.021;17.0;80.0;0.98992;3.15;0.46;12.3;excellent
2840;6.5;0.37;0.33;3.5;0.036000000000000004;23.0;92.0;0.99136;3.18;0.38;11.2;good
3434;8.2;0.34;0.29;5.2;0.076;19.0;92.0;0.9913799999999999;2.95;0.39;12.5;good
3842;7.5;0.26;0.31;1.6;0.032;36.0;109.0;0.99044;2.97;0.43;11.9;good
2703;6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;good
1545;7.9;0.12;0.49;5.2;0.049;33.0;152.0;0.9952;3.18;0.47;10.6;good
3505;6.0;0.2;0.32;3.0;0.031;26.0;118.0;0.99134;3.38;0.68;11.2;excellent
283;6.7;0.34;0.3;15.6;0.054000000000000006;51.0;196.0;0.9982;3.19;0.49;9.3;good
865;6.1;0.27;0.33;2.2;0.021;26.0;117.0;0.9886;3.12;0.3;12.5;good
4579;6.0;0.2;0.26;14.7;0.045;53.0;125.0;0.998365;2.99;0.69;9.4;good
33;6.2;0.12;0.34;1.5;0.045;43.0;117.0;0.9939;3.42;0.51;9.0;good
3797;7.0;0.39;0.21;10.7;0.098;13.0;91.0;0.9965700000000001;3.03;0.47;9.3;good
301;8.3;0.2;0.35;0.9;0.05;12.0;74.0;0.992;3.13;0.38;10.5;good
3407;6.1;0.33;0.32;7.8;0.052000000000000005;52.0;183.0;0.9965700000000001;3.39;0.65;9.5;good
4663;6.0;0.17;0.33;6.0;0.036000000000000004;30.0;111.0;0.9936200000000001;3.32;0.58;10.1333333333333;excellent
2687;6.6;0.24;0.38;8.0;0.042;56.0;187.0;0.99577;3.21;0.46;9.2;good
2659;7.1;0.15;0.34;1.0;0.033;27.0;73.0;0.98974;3.24;0.41;12.2;good
2782;7.1;0.2;0.31;6.85;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;good
2221;8.5;0.28;0.34;13.8;0.040999999999999995;32.0;161.0;0.9981;3.13;0.4;9.9;good
4369;6.4;0.29;0.21;9.65;0.040999999999999995;36.0;119.0;0.99334;2.99;0.34;10.933333333333302;good
3649;7.0;0.29;0.37;1.6;0.035;34.0;126.0;0.9905799999999999;3.26;0.47;12.3;good
3934;7.3;0.27;0.3;1.3;0.04;26.0;84.0;0.9922200000000001;3.28;0.53;10.7;good
310;6.1;0.36;0.27;2.1;0.035;16.0;100.0;0.9917;3.4;0.71;11.5;excellent
0;7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;good
4187;5.9;0.24;0.34;2.0;0.037000000000000005;40.0;108.0;0.9894799999999999;3.19;0.5;12.3;good
1246;8.0;0.2;0.4;5.2;0.055;41.0;167.0;0.9953;3.18;0.4;10.6;excellent
1597;6.4;0.27;0.49;7.3;0.046;53.0;206.0;0.9956;3.24;0.43;9.2;good
360;6.4;0.24;0.32;14.9;0.047;54.0;162.0;0.9968;3.28;0.5;10.2;good
3426;7.1;0.17;0.4;14.55;0.047;47.0;156.0;0.99945;3.34;0.78;9.1;good
1440;7.2;0.26;0.74;13.6;0.05;56.0;162.0;0.998;3.03;0.44;8.8;good
2828;6.4;0.14;0.31;1.2;0.034;53.0;138.0;0.9908399999999999;3.38;0.35;11.5;excellent
3327;5.8;0.17;0.36;1.3;0.036000000000000004;11.0;70.0;0.9920200000000001;3.43;0.68;10.4;excellent
1368;7.3;0.22;0.41;15.4;0.05;55.0;191.0;1.0;3.32;0.59;8.9;good
1010;7.6;0.16;0.44;1.4;0.043;25.0;109.0;0.9932;3.11;0.75;10.3;good
2181;7.4;0.29;0.25;3.8;0.044000000000000004;30.0;114.0;0.992;3.11;0.4;11.0;good
3897;7.0;0.24;0.3;12.3;0.035;72.0;172.0;0.9954;2.99;0.57;10.4;good
4286;6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;good
1036;7.5;0.17;0.37;1.5;0.06;18.0;75.0;0.9936;3.54;0.88;10.7;good
612;7.5;0.23;0.68;11.0;0.047;37.0;133.0;0.9978;2.99;0.38;8.8;good
397;6.3;0.2;0.4;1.5;0.037000000000000005;35.0;107.0;0.9917;3.46;0.5;11.4;good
2538;5.9;0.28;0.14;8.6;0.032;30.0;142.0;0.9954200000000001;3.28;0.44;9.5;good
1911;7.1;0.18;0.26;1.3;0.040999999999999995;20.0;71.0;0.9926;3.04;0.74;9.9;good
3046;6.9;0.24;0.37;6.1;0.027000000000000003;38.0;112.0;0.9908600000000001;3.19;0.34;12.4;good
4218;8.0;0.33;0.32;4.6;0.040999999999999995;31.0;180.0;0.9918399999999999;2.92;0.74;12.2;good
867;7.8;0.18;0.46;12.6;0.042;41.0;143.0;1.0;3.24;0.76;8.5;excellent
2696;6.5;0.22;0.5;16.4;0.048;36.0;182.0;0.9990399999999999;3.02;0.49;8.8;good
3391;6.9;0.28;0.3;8.3;0.026000000000000002;37.0;113.0;0.99139;2.99;0.38;12.3;excellent
1365;6.7;0.13;0.28;1.2;0.046;35.0;140.0;0.9927;3.33;0.33;10.1;excellent
4487;6.4;0.13;0.28;0.9;0.045;32.0;87.0;0.99175;3.47;0.52;11.2;good
2118;6.4;0.2;0.32;3.1;0.040999999999999995;18.0;126.0;0.9914;3.43;0.42;12.0;good
2415;8.2;0.24;0.3;2.3;0.05;23.0;106.0;0.99397;2.98;0.5;10.0;good
3153;5.8;0.29;0.33;3.7;0.028999999999999998;30.0;88.0;0.9899399999999999;3.25;0.42;12.3;good
447;6.5;0.41;0.24;14.0;0.048;24.0;113.0;0.9982;3.44;0.53;9.8;good
3017;5.9;0.34;0.3;3.8;0.035;57.0;135.0;0.99016;3.09;0.34;12.0;good
3235;5.7;0.15;0.28;3.7;0.045;57.0;151.0;0.9913;3.22;0.27;11.2;good
4434;7.2;0.24;0.24;1.7;0.045;18.0;161.0;0.9919600000000001;3.25;0.53;11.2;good
1840;6.9;0.18;0.33;1.0;0.054000000000000006;24.0;164.0;0.9926;3.42;0.51;10.5;good
2390;7.0;0.28;0.26;1.7;0.042;34.0;130.0;0.9925;3.43;0.5;10.7;excellent
2458;7.8;0.32;0.33;10.4;0.031;47.0;194.0;0.99692;3.07;0.58;9.6;good
1278;7.0;0.24;0.36;4.9;0.083;10.0;133.0;0.9942;3.33;0.37;10.8;good
1198;7.1;0.26;0.32;14.45;0.07400000000000001;29.0;107.0;0.998;2.96;0.42;9.2;good
2111;6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;good
3328;6.4;0.24;0.29;1.0;0.038;18.0;122.0;0.9906;3.3;0.42;11.5;good
3299;6.8;0.32;0.32;8.7;0.028999999999999998;31.0;105.0;0.99146;3.0;0.34;12.3;excellent
3236;6.9;0.22;0.39;6.0;0.035;44.0;141.0;0.9912299999999999;3.11;0.33;12.5;good
548;6.5;0.18;0.31;1.7;0.044000000000000004;30.0;127.0;0.9928;3.49;0.5;10.2;excellent
3781;7.4;0.25;0.29;6.8;0.02;31.0;113.0;0.9933799999999999;3.13;0.29;10.8;good
1112;6.5;0.22;0.34;12.0;0.053;55.0;177.0;0.9983;3.52;0.44;9.9;good
4129;6.3;0.34;0.31;6.0;0.02;18.0;68.0;0.9898100000000001;3.22;0.29;13.4;excellent
4385;6.4;0.26;0.21;8.2;0.05;51.0;182.0;0.9954200000000001;3.23;0.48;9.5;good
745;7.4;0.2;1.66;2.1;0.022000000000000002;34.0;113.0;0.99165;3.26;0.55;12.2;good
4736;6.0;0.16;0.36;1.6;0.042;13.0;61.0;0.9914299999999999;3.22;0.54;10.8;good
4339;6.8;0.24;0.29;2.0;0.044000000000000004;15.0;96.0;0.9923200000000001;3.23;0.64;10.4;excellent
4467;6.3;0.25;0.27;6.6;0.054000000000000006;40.0;158.0;0.9937799999999999;3.2;0.48;10.3;good
2215;8.5;0.28;0.34;13.8;0.040999999999999995;32.0;161.0;0.9981;3.13;0.4;9.9;good
1683;7.2;0.25;0.28;14.4;0.055;55.0;205.0;0.9986;3.12;0.38;9.0;excellent
4539;8.3;0.14;0.36;8.8;0.026000000000000002;13.0;60.0;0.9956;3.13;0.35;11.05;good
1783;8.7;0.45;0.4;1.5;0.067;17.0;100.0;0.9957;3.27;0.57;10.1;good
3485;7.5;0.21;0.32;4.8;0.055999999999999994;39.0;113.0;0.99393;3.11;0.52;10.2;excellent
3572;7.6;0.38;0.28;4.2;0.028999999999999998;7.0;112.0;0.9906;3.0;0.41;12.6;good
4432;6.7;0.24;0.26;5.4;0.03;15.0;94.0;0.99045;3.15;0.38;12.7;good
131;6.5;0.24;0.32;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;9.7;excellent
4338;7.3;0.19;0.27;13.9;0.057;45.0;155.0;0.9980700000000001;2.94;0.41;8.8;excellent
2385;7.6;0.2;0.68;12.9;0.042;56.0;160.0;0.99841;3.05;0.41;8.7;good
3674;6.6;0.34;0.2;1.0;0.053;26.0;112.0;0.99336;3.32;0.55;9.1;good
3697;6.8;0.15;0.41;12.9;0.044000000000000004;79.5;182.0;0.9974200000000001;3.24;0.78;10.2;good
1434;7.4;0.25;0.49;1.1;0.042;35.0;156.0;0.9917;3.13;0.55;11.3;good
4366;5.9;0.29;0.28;3.2;0.035;16.0;117.0;0.98959;3.26;0.42;12.6;good
1743;8.3;0.3;0.36;10.0;0.042;33.0;169.0;0.9982;3.23;0.51;9.3;good
1044;7.2;0.21;0.37;1.6;0.049;23.0;94.0;0.9924;3.16;0.48;10.9;excellent
1574;8.5;0.17;0.49;8.8;0.048;23.0;108.0;0.9947;2.88;0.34;10.5;poor
547;7.7;0.22;0.42;1.9;0.052000000000000005;10.0;87.0;0.9922;3.3;0.49;11.8;good
1923;8.2;0.37;0.27;1.7;0.027999999999999997;10.0;59.0;0.9923;2.97;0.48;10.4;good
1100;6.3;0.27;0.25;5.8;0.038;52.0;155.0;0.995;3.28;0.38;9.4;good
890;5.0;0.31;0.0;6.4;0.046;43.0;166.0;0.9940000000000001;3.3;0.63;9.9;good
281;6.1;0.31;0.58;5.0;0.039;36.0;114.0;0.9909;3.3;0.6;12.3;excellent
574;7.4;0.2;0.33;1.9;0.035;39.0;138.0;0.991;3.17;0.44;11.7;excellent
180;6.4;0.33;0.31;5.5;0.048;42.0;173.0;0.9951;3.19;0.66;9.3;good
442;6.0;0.25;0.28;2.2;0.026000000000000002;54.0;126.0;0.9898;3.43;0.65;12.9;excellent
1981;7.6;0.2;0.3;14.2;0.055999999999999994;53.0;212.5;0.9990000000000001;3.14;0.46;8.9;excellent
322;6.8;0.25;0.34;4.7;0.031;34.0;134.0;0.9927;3.21;0.38;10.6;good
562;7.7;0.34;0.27;8.8;0.063;39.0;184.0;0.9969;3.09;0.63;9.2;good
2501;6.4;0.31;0.4;6.4;0.039;39.0;191.0;0.99513;3.14;0.52;9.8;good
4195;7.1;0.45;0.24;2.7;0.04;24.0;87.0;0.98862;2.94;0.38;13.4;excellent
4316;7.2;0.585;0.2;10.4;0.086;17.0;94.0;0.9968100000000001;3.13;0.4;9.4;good
3639;6.7;0.13;0.32;3.7;0.017;32.0;99.0;0.9934799999999999;3.12;0.44;10.0;good
4208;5.6;0.23;0.29;3.1;0.023;19.0;89.0;0.9906799999999999;3.25;0.51;11.2;good
1983;7.6;0.2;0.3;14.2;0.055999999999999994;53.0;212.5;0.9990000000000001;3.14;0.46;8.9;excellent
1309;9.4;0.17;0.55;1.6;0.049;14.0;94.0;0.9949;3.02;0.61;10.3;good
211;6.8;0.18;0.38;1.4;0.038;35.0;111.0;0.9918;3.32;0.59;11.2;excellent
1670;7.8;0.24;0.18;6.7;0.046;33.0;160.0;0.9963;3.2;0.56;9.8;good
3696;6.4;0.16;0.44;1.2;0.051;39.0;122.0;0.9905799999999999;3.11;0.75;11.3;excellent
3300;7.8;0.25;0.37;1.0;0.043;10.0;80.0;0.9912799999999999;3.08;0.38;11.4;good
1474;6.9;0.25;0.24;3.6;0.057;13.0;85.0;0.9942;2.99;0.48;9.5;poor
1238;7.1;0.44;0.37;2.7;0.040999999999999995;35.0;128.0;0.9896;3.07;0.43;13.5;excellent
2096;6.8;0.32;0.34;6.0;0.05;5.0;129.0;0.9953;3.19;0.4;9.1;good
4760;6.6;0.17;0.26;7.4;0.052000000000000005;45.0;128.0;0.9938799999999999;3.16;0.37;10.0;good
1549;8.5;0.15;0.49;1.5;0.031;17.0;122.0;0.9932;3.03;0.4;10.3;good
1438;6.3;0.23;0.49;7.1;0.05;67.0;210.0;0.9951;3.23;0.34;9.5;good
4324;5.9;0.2;0.28;1.0;0.043;45.0;100.0;0.9903299999999999;3.4;0.41;11.4;good
4234;6.3;0.22;0.3;2.0;0.05;23.0;120.0;0.9920399999999999;3.24;0.47;10.4;good
1940;8.3;0.36;0.57;15.0;0.052000000000000005;35.0;256.0;1.0001;2.93;0.64;8.6;good
2994;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;excellent
844;7.3;0.21;0.29;1.6;0.034;29.0;118.0;0.9917;3.3;0.5;11.0;excellent
3800;8.1;0.2;0.3;1.3;0.036000000000000004;7.0;49.0;0.9924200000000001;2.99;0.73;10.3;good
2589;7.2;0.615;0.1;1.4;0.068;25.0;154.0;0.9949899999999999;3.2;0.48;9.7;poor
1572;6.9;0.22;0.49;7.0;0.063;50.0;168.0;0.9957;3.54;0.5;10.3;good
3717;6.3;0.18;0.24;3.4;0.053;20.0;119.0;0.9937299999999999;3.11;0.52;9.2;good
3040;6.3;0.2;0.37;11.8;0.045;58.0;130.0;0.99519;3.2;0.35;10.8;good
1738;7.5;0.15;0.38;1.8;0.054000000000000006;19.0;101.0;0.9946;3.24;0.44;10.0;good
424;6.9;0.23;0.38;8.3;0.047;47.0;162.0;0.9954;3.34;0.52;10.5;excellent
2110;6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;good
3438;6.7;0.3;0.44;18.5;0.057;65.0;224.0;0.99956;3.11;0.53;9.1;good
2622;6.6;0.26;0.21;2.9;0.026000000000000002;48.0;126.0;0.9908899999999999;3.22;0.38;11.3;excellent
4528;6.4;0.37;0.19;3.5;0.068;18.0;101.0;0.9934;3.03;0.38;9.0;good
2163;8.5;0.25;0.27;4.7;0.031;31.0;92.0;0.9922;3.01;0.33;12.0;good
1118;5.8;0.415;0.13;1.4;0.04;11.0;64.0;0.9922;3.29;0.52;10.5;good
2903;5.7;0.21;0.25;1.1;0.035;26.0;81.0;0.9902;3.31;0.52;11.4;good
1899;6.7;0.44;0.31;1.9;0.03;41.0;104.0;0.99;3.29;0.62;12.6;excellent
4311;7.1;0.23;0.28;1.9;0.046;33.0;103.0;0.9899700000000001;3.12;0.31;12.0;good
4382;7.0;0.24;0.26;1.7;0.040999999999999995;31.0;110.0;0.9914200000000001;3.2;0.53;11.0;good
1453;7.6;0.52;0.49;14.0;0.034;37.0;156.0;0.9958;3.14;0.38;11.8;excellent
4843;5.6;0.34;0.25;2.5;0.046;47.0;182.0;0.99093;3.21;0.4;11.3;good
3977;6.9;0.27;0.25;7.5;0.03;18.0;117.0;0.99116;3.09;0.38;13.0;good
4845;6.6;0.38;0.29;2.4;0.136;15.0;93.0;0.99336;3.18;0.6;9.5;good
1180;8.2;0.61;0.45;5.4;0.03;15.0;118.0;0.9954;3.14;0.34;9.6;good
1383;7.1;0.36;0.56;1.3;0.046;25.0;102.0;0.9923;3.24;0.33;10.5;good
4734;5.5;0.16;0.31;1.2;0.026000000000000002;31.0;68.0;0.9898;3.33;0.44;11.6333333333333;good
4167;6.3;0.17;0.32;1.0;0.04;39.0;118.0;0.9888600000000001;3.31;0.4;13.1;excellent
1074;6.2;0.55;0.45;12.0;0.049;27.0;186.0;0.9974;3.17;0.5;9.3;good
4570;5.8;0.29;0.15;1.1;0.028999999999999998;12.0;83.0;0.9898;3.3;0.4;11.4;good
4538;7.1;0.09;0.3;6.2;0.032;24.0;134.0;0.993;2.99;0.39;10.9;good
1344;7.3;0.23;0.37;1.9;0.040999999999999995;51.0;165.0;0.9908;3.26;0.4;12.2;excellent
169;9.8;0.42;0.48;9.85;0.034;5.0;110.0;0.9958;2.87;0.29;10.0;good
2081;7.5;0.42;0.14;10.7;0.046;18.0;95.0;0.9959;3.22;0.33;10.7;good
3395;6.6;0.26;0.46;7.8;0.047;48.0;186.0;0.9958;3.2;0.54;9.1;good
4421;6.6;0.22;0.23;17.3;0.047;37.0;118.0;0.9990600000000001;3.08;0.46;8.8;good
3222;6.6;0.16;0.34;1.1;0.037000000000000005;41.0;115.0;0.9899;3.01;0.68;12.0;good
4705;5.7;0.27;0.16;9.0;0.053;32.0;111.0;0.99474;3.36;0.37;10.4;good
556;8.4;0.35;0.71;12.2;0.046;22.0;160.0;0.9982;2.98;0.65;9.4;good
954;7.6;0.22;0.34;9.7;0.035;26.0;143.0;0.9965;3.08;0.49;9.8;good
2097;6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;good
3057;7.2;0.27;0.37;5.4;0.026000000000000002;27.0;114.0;0.99174;3.13;0.84;12.7;good
4720;6.6;0.27;0.32;1.3;0.044000000000000004;18.0;93.0;0.99044;3.11;0.56;12.25;good
4370;6.5;0.22;0.19;4.5;0.096;16.0;115.0;0.9937;3.02;0.44;9.6;good
3684;6.8;0.31;0.3;8.0;0.027999999999999997;33.0;122.0;0.99164;3.13;0.63;12.6;excellent
4521;6.3;0.36;0.2;2.0;0.048;48.0;191.0;0.9929;3.17;0.51;9.6;good
2425;7.2;0.24;0.29;3.0;0.036000000000000004;17.0;117.0;0.99411;3.36;0.68;10.1;good
9;8.1;0.22;0.43;1.5;0.044000000000000004;28.0;129.0;0.9938;3.22;0.45;11.0;good
3261;6.3;0.32;0.32;1.5;0.03;24.0;101.0;0.9892299999999999;3.21;0.42;13.0;good
1951;9.9;1.005;0.46;1.4;0.046;34.0;185.0;0.9966;3.02;0.49;10.2;poor
2470;7.6;0.25;0.34;1.3;0.055999999999999994;34.0;176.0;0.99434;3.1;0.51;9.5;good
591;7.3;0.2;0.37;1.2;0.037000000000000005;48.0;119.0;0.992;3.32;0.49;10.9;good
261;6.9;0.29;0.4;19.45;0.043;36.0;156.0;0.9996;2.93;0.47;8.9;good
109;6.9;0.33;0.28;1.3;0.051;37.0;187.0;0.9927;3.27;0.6;10.3;good
400;6.3;0.2;0.4;1.5;0.037000000000000005;35.0;107.0;0.9917;3.46;0.5;11.4;good
2713;6.8;0.23;0.42;7.4;0.044000000000000004;56.0;189.0;0.9958;3.22;0.48;9.3;good
74;6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;excellent
3613;7.0;0.16;0.25;14.3;0.044000000000000004;27.0;149.0;0.998;2.91;0.46;9.2;good
1517;8.2;0.24;0.49;9.3;0.038;52.0;163.0;0.9952;3.02;0.33;10.6;good
4374;6.4;0.35;0.21;2.1;0.051;46.0;171.0;0.9932;3.16;0.5;9.5;good
3637;8.7;0.3;0.34;4.8;0.018000000000000002;23.0;127.0;0.99474;3.12;0.49;11.2;excellent
3646;7.2;0.33;0.22;4.5;0.031;10.0;73.0;0.9907600000000001;2.97;0.52;12.2;excellent
391;6.5;0.36;0.32;1.1;0.031;13.0;66.0;0.9916;3.1;0.46;10.6;good
1557;7.9;0.18;0.49;5.2;0.051;36.0;157.0;0.9953;3.18;0.48;10.6;good
4093;6.6;0.41;0.27;10.7;0.11;20.0;103.0;0.99672;3.08;0.41;9.0;good
3122;5.6;0.18;0.27;1.7;0.03;31.0;103.0;0.98892;3.35;0.37;12.9;good
4351;6.4;0.31;0.28;2.5;0.039;34.0;137.0;0.98946;3.22;0.38;12.7;good
2614;6.15;0.21;0.37;3.2;0.021;20.0;80.0;0.9907600000000001;3.39;0.47;12.0;good
4729;6.8;0.32;0.43;1.6;0.05;4.0;65.0;0.99346;3.27;0.47;10.7;good
2694;6.2;0.28;0.27;10.3;0.03;26.0;108.0;0.9938799999999999;3.2;0.36;10.7;good
1113;7.4;0.18;0.4;1.6;0.047;22.0;102.0;0.9937;3.28;0.44;10.7;good
4568;6.4;0.3;0.27;4.4;0.055;17.0;135.0;0.9925;3.23;0.44;12.2;good
675;6.1;0.28;0.25;6.9;0.055999999999999994;44.0;201.0;0.9955;3.19;0.4;9.1;good
716;7.7;0.42;0.31;9.2;0.048;22.0;221.0;0.9969;3.06;0.61;9.2;good
1303;8.2;0.2;0.36;8.1;0.035;60.0;163.0;0.9952;3.05;0.3;10.3;good
2212;7.0;0.32;0.35;1.5;0.039;24.0;125.0;0.9918;3.17;0.64;12.2;good
1863;6.6;0.28;0.3;7.8;0.049;57.0;202.0;0.9958;3.24;0.39;9.5;good
668;6.1;0.14;0.25;1.3;0.047;37.0;173.0;0.9925;3.35;0.46;10.0;good
1105;5.5;0.32;0.45;4.9;0.027999999999999997;25.0;191.0;0.9922;3.51;0.49;11.5;excellent
640;5.6;0.235;0.29;1.2;0.047;33.0;127.0;0.991;3.34;0.5;11.0;excellent
2397;6.5;0.19;0.27;4.9;0.037000000000000005;13.0;101.0;0.9916;3.17;0.41;11.8;good
2076;6.8;0.36;0.32;1.6;0.039;10.0;124.0;0.9948;3.3;0.67;9.6;good
150;7.9;0.22;0.38;8.0;0.043;46.0;152.0;0.9934;3.12;0.32;11.5;excellent
268;5.3;0.585;0.07;7.1;0.044000000000000004;34.0;145.0;0.9945;3.34;0.57;9.7;good
